date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:40	272/272	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:25%20GMT	http://www.amu.ac.in/miscellaneous/academic-programmes-committee	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/academic-programmes-committee	(from https://www.amu.ac.in/miscellaneous/alumni)
14:38:44	251/251	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:29%20GMT	http://www.amu.ac.in/miscellaneous/pmrf-amu	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/pmrf-amu	(from https://www.amu.ac.in/miscellaneous/alumni)
14:38:44	0/-1	---M--	301	error ('')			http://www.amu.ac.in/miscellaneous/dean-students-welfare	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/dean-students-welfare.d.delayed	(from https://www.amu.ac.in/miscellaneous/alumni)
14:38:52	259/259	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:33%20GMT	http://www.amu.ac.in/miscellaneous/proctor-s-office	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/proctor-s-office	(from https://www.amu.ac.in/miscellaneous/alumni)
14:38:58	289/289	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:43%20GMT	http://www.amu.ac.in/miscellaneous/ugc-online-students-grievance-redressal-system	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/ugc-online-students-grievance-redressal-system.f.delayed	(from https://www.amu.ac.in/miscellaneous/alumni)
14:38:59	268/268	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:47%20GMT	http://www.amu.ac.in/miscellaneous/cultural-education-centre	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/cultural-education-centre	(from https://www.amu.ac.in/miscellaneous/alumni)
14:39:01	268/268	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:48%20GMT	http://www.amu.ac.in/miscellaneous/universiy-health-services	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/universiy-health-services	(from https://www.amu.ac.in/miscellaneous/alumni)
14:39:03	258/258	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:50%20GMT	http://www.amu.ac.in/miscellaneous/games-committee	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/games-committee	(from https://www.amu.ac.in/miscellaneous/alumni)
14:39:04	258/258	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:52%20GMT	http://www.amu.ac.in/miscellaneous/disability-unit	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/disability-unit	(from https://www.amu.ac.in/miscellaneous/alumni)
14:39:06	266/266	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2008:57:53%20GMT	http://www.amu.ac.in/miscellaneous/national-service-scheme	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/national-service-scheme	(from https://www.amu.ac.in/miscellaneous/alumni)
